Date,Adj Close
1/4/2021,0.068
1/5/2021,0.078
1/6/2021,0.078
1/7/2021,0.08
1/8/2021,0.08
1/10/2021,0
1/11/2021,0.08
1/12/2021,0.08
1/13/2021,0.08
1/14/2021,0.075
1/15/2021,0.075
1/17/2021,0
1/19/2021,0.073
1/20/2021,0.075
1/21/2021,0.073
1/22/2021,0.07
1/24/2021,0
1/25/2021,0.07
1/26/2021,0.068
1/27/2021,0.06
1/28/2021,0.055
1/29/2021,0.048
1/31/2021,0
2/1/2021,0.048
2/2/2021,0.05
2/3/2021,0.04
2/4/2021,0.03
2/5/2021,0.023
2/7/2021,0
2/8/2021,0.02
2/9/2021,0.033
2/10/2021,0.035
2/11/2021,0.035
2/12/2021,0.035
2/14/2021,0
2/16/2021,0.035
2/17/2021,0.035
2/18/2021,0.023
2/19/2021,0.023
2/21/2021,0
2/22/2021,0.025
2/23/2021,0.023
2/24/2021,0.028
2/25/2021,0.033
2/26/2021,0.035
2/28/2021,0
3/1/2021,0.028
3/2/2021,0.035
3/3/2021,0.035
3/4/2021,0.028
3/5/2021,0.028
3/7/2021,0
3/8/2021,0.035
3/9/2021,0.035
3/10/2021,0.03
3/11/2021,0.028
3/12/2021,0.025
3/14/2021,0
3/15/2021,0.015
3/16/2021,0.008
3/17/2021,0.008
3/18/2021,0.003
3/19/2021,0.005
3/21/2021,0
3/22/2021,0.005
3/23/2021,0.01
3/24/2021,0.015
3/25/2021,0.015
3/26/2021,0.015
3/28/2021,0
3/29/2021,0.008
3/30/2021,0.013
3/31/2021,0.013
4/1/2021,0.008
4/4/2021,0
4/5/2021,0.015
4/6/2021,0.015
4/7/2021,0.01
4/8/2021,0.005
4/9/2021,0.003
4/11/2021,0
4/12/2021,0.01
4/13/2021,0.015
4/14/2021,0.015
4/15/2021,0.01
4/16/2021,0.008
4/18/2021,0
4/19/2021,0.015
4/20/2021,0.015
4/21/2021,0.013
4/22/2021,0.015
4/23/2021,0.015
4/25/2021,0
4/26/2021,0.008
4/27/2021,0.01
4/28/2021,0.008
4/29/2021,0.008
4/30/2021,0.003
5/2/2021,0
5/3/2021,0.005
5/4/2021,0.01
5/5/2021,0.008
5/6/2021,0.008
5/7/2021,0.008
5/9/2021,0
5/10/2021,0.005
5/11/2021,0.01
5/12/2021,0.01
5/13/2021,0.008
5/14/2021,0.005
5/16/2021,0
5/17/2021,0.005
5/18/2021,0.01
5/19/2021,0.005
5/20/2021,0.003
5/21/2021,0.003
5/23/2021,0
5/24/2021,0.003
5/25/2021,0.01
5/26/2021,0.005
5/27/2021,0.005
5/28/2021,0.008
5/30/2021,0
6/1/2021,0.01
6/2/2021,0.015
6/3/2021,0.015
6/4/2021,0.015
6/6/2021,0
6/7/2021,0.018
6/8/2021,0.02
6/9/2021,0.02
6/10/2021,0.02
6/11/2021,0.018
6/13/2021,0
6/14/2021,0.015
6/15/2021,0.02
6/16/2021,0.028
6/17/2021,0.028
6/18/2021,0.028
6/20/2021,0
6/21/2021,0.03
6/22/2021,0.038
6/23/2021,0.04
6/24/2021,0.043
6/25/2021,0.043
6/27/2021,0
6/28/2021,0.04
6/29/2021,0.04
6/30/2021,0.04
7/1/2021,0.04
7/2/2021,0.038
7/4/2021,0
7/6/2021,0.04
7/7/2021,0.043
7/8/2021,0.043
7/9/2021,0.043
7/11/2021,0
7/12/2021,0.043
7/13/2021,0.045
7/14/2021,0.045
7/15/2021,0.038
7/16/2021,0.038
7/18/2021,0
7/19/2021,0.04
7/20/2021,0.045
7/21/2021,0.045
7/22/2021,0.043
7/23/2021,0.045
7/25/2021,0
7/26/2021,0.04
7/27/2021,0.045
7/28/2021,0.045
7/29/2021,0.04
7/30/2021,0.04
8/1/2021,0
8/2/2021,0.038
8/3/2021,0.045
8/4/2021,0.045
8/5/2021,0.043
8/6/2021,0.043
8/8/2021,0
8/9/2021,0.045
8/10/2021,0.05
8/11/2021,0.045
8/12/2021,0.043
8/13/2021,0.045
8/15/2021,0
8/16/2021,0.058
8/17/2021,0.063
8/18/2021,0.055
8/19/2021,0.043
8/20/2021,0.043
8/22/2021,0
8/23/2021,0.04
8/24/2021,0.048
8/25/2021,0.045
8/26/2021,0.043
8/27/2021,0.043
8/29/2021,0
8/30/2021,0.038
8/31/2021,0.04
9/1/2021,0.04
9/2/2021,0.04
9/3/2021,0.04
9/5/2021,0
9/7/2021,0.035
9/8/2021,0.04
9/9/2021,0.038
9/10/2021,0.038
9/12/2021,0
9/13/2021,0.038
9/14/2021,0.035
9/15/2021,0.035
9/16/2021,0.03
9/17/2021,0.028
9/19/2021,0
9/20/2021,0.025
9/21/2021,0.02
9/22/2021,0.025
9/23/2021,0.025
9/24/2021,0.025
9/26/2021,0
9/27/2021,0.025
9/28/2021,0.03
9/29/2021,0.03
9/30/2021,0.028
10/1/2021,0.028
10/3/2021,0
10/4/2021,0.028
10/5/2021,0.035
10/6/2021,0.04
10/7/2021,0.04
10/8/2021,0.04
10/10/2021,0
10/11/2021,0.04
10/12/2021,0.04
10/13/2021,0.045
10/14/2021,0.04
10/15/2021,0.038
10/17/2021,0
10/18/2021,0.043
10/19/2021,0.05
10/20/2021,0.05
10/21/2021,0.05
10/22/2021,0.05
10/24/2021,0
10/25/2021,0.05
10/26/2021,0.05
10/27/2021,0.05
10/28/2021,0.048
10/29/2021,0.048
10/31/2021,0
11/1/2021,0.04
11/2/2021,0.045
11/3/2021,0.045
11/4/2021,0.035
11/5/2021,0.04
